scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
strong_shear,0.0,-0.6,1.0,1,4.188790205,4.188790205,4.188790205,4546.75,11.963039,1.085457,1,1,1,1,3,1331,3.416041
strong_shear,0.05,-0.69411385,1.01197485,0.9681847119,4.055522638,4.064992745,4.064378947,4413.25,11.919363,1.088207,1,1.0119748,1.0119748,0.94540694,3,1292.6332,3.414155
strong_shear,0.1,-0.79372692,1.02288154,0.9328574094,3.907543979,3.944854053,3.94245583,4275.0,11.875163,1.094038,1,1.0228815,1.0228815,0.89158875,3,1250.2575,3.419296
strong_shear,0.15,-0.90016733,1.03269188,0.89420635,3.7456428,3.828265997,3.822995723,4110.0,11.820233,1.097275,1,1.0326919,1.0326919,0.8384868,3,1204.07,3.413423
strong_shear,0.2,-1.01505235,1.04137535,0.852433412,3.570664726,3.715123638,3.705973491,3945.5,11.764494,1.104976,1,1.0413753,1.0413753,0.78604223,3,1154.2806,3.418146
strong_shear,0.25,-1.14039002,1.04889865,0.8077538836,3.383511556,3.605325141,3.591364002,3743.25,11.691435,1.106321,1,1.0488986,1.0488986,0.73419598,3,1101.1121,3.399518
strong_shear,0.3,-1.27872391,1.05522496,0.7603964176,3.185141066,3.49877168,3.479142123,3560.25,11.619795,1.117768,1,1.055225,1.055225,0.68288874,3,1044.8,3.40759
strong_shear,0.35,-1.43334455,1.06031308,0.7106031784,2.976567633,3.39536735,3.369282723,3363.0,11.536691,1.129825,1,1.0603131,1.0603131,0.63206087,3,985.59291,3.412159
strong_shear,0.4,-1.60860734,1.06411619,0.6586302208,2.758863817,3.295019079,3.261760667,3149.75,11.445289,1.141684,1,1.0641162,1.0641162,0.58165244,3,923.75255,3.409733
strong_shear,0.45,-1.81042561,1.06658026,0.6047481582,2.533163162,3.197636548,3.156550823,2918.25,11.335289,1.152018,1,1.0665803,1.0665803,0.53160306,3,859.5546,3.395072
strong_shear,0.5,-2.04706417,1.06764181,0.5492432055,2.300664559,3.103132106,3.053628059,2692.5,11.218366,1.170314,1,1.0676418,1.0676418,0.48185186,3,793.2895,3.394095
